loss_mse 0.000040    loss_niqe 8568.501605   loss_pi: 8519.862696 
loss_mse 0.000040    loss_niqe 8577.604294   loss_pi: 8524.007664 
loss_mse 0.000040    loss_niqe 8561.405582   loss_pi: 8519.021272 
loss_mse 0.000040    loss_niqe 8569.176252   loss_pi: 8520.973269 
loss_mse 0.000040    loss_niqe 8562.845600   loss_pi: 8513.022282 
loss_mse 0.000040    loss_niqe 8570.777033   loss_pi: 8518.416235 
loss_mse 0.000040    loss_niqe 8566.469562   loss_pi: 8515.903558 
loss_mse 0.000040    loss_niqe 8572.386482   loss_pi: 8518.186656 
loss_mse 0.000039    loss_niqe 8575.979687   loss_pi: 8524.973327 
loss_mse 0.000039    loss_niqe 8567.213237   loss_pi: 8517.319379 
loss_mse 0.000039    loss_niqe 8565.826695   loss_pi: 8522.066318 
loss_mse 0.000039    loss_niqe 8584.707168   loss_pi: 8527.924361 
loss_mse 0.000039    loss_niqe 8554.785515   loss_pi: 8512.916309 
loss_mse 0.000039    loss_niqe 8577.654380   loss_pi: 8517.734462 
loss_mse 0.000039    loss_niqe 8556.614306   loss_pi: 8512.790890 
loss_mse 0.000039    loss_niqe 8572.297557   loss_pi: 8519.181865 
loss_mse 0.000039    loss_niqe 8562.972524   loss_pi: 8512.542955 
loss_mse 0.000039    loss_niqe 8574.080302   loss_pi: 8517.386133 
loss_mse 0.000039    loss_niqe 8569.766888   loss_pi: 8515.122663 
loss_mse 0.000039    loss_niqe 8567.230563   loss_pi: 8515.340006 
loss_mse 0.000038    loss_niqe 8565.828327   loss_pi: 8516.749387 
loss_mse 0.000039    loss_niqe 8586.622286   loss_pi: 8528.312795 
loss_mse 0.000039    loss_niqe 8584.699652   loss_pi: 8522.667355 
loss_mse 0.000039    loss_niqe 8566.712758   loss_pi: 8517.133513 
loss_mse 0.000038    loss_niqe 8558.049168   loss_pi: 8511.356752 
loss_mse 0.000038    loss_niqe 8577.237593   loss_pi: 8516.072991 
loss_mse 0.000039    loss_niqe 8583.057314   loss_pi: 8522.798287 
loss_mse 0.000038    loss_niqe 8597.429662   loss_pi: 8525.843703 
loss_mse 0.000038    loss_niqe 8562.572011   loss_pi: 8512.509386 
loss_mse 0.000038    loss_niqe 8561.871473   loss_pi: 8512.746133 
loss_mse 0.000038    loss_niqe 8587.010075   loss_pi: 8520.167961 
loss_mse 0.000038    loss_niqe 8567.198709   loss_pi: 8515.814416 
loss_mse 0.000038    loss_niqe 8555.864809   loss_pi: 8513.117974 
loss_mse 0.000038    loss_niqe 8559.753258   loss_pi: 8513.107521 
loss_mse 0.000038    loss_niqe 8552.373102   loss_pi: 8510.214719 
loss_mse 0.000038    loss_niqe 8579.140712   loss_pi: 8521.462757 
loss_mse 0.000038    loss_niqe 8583.440216   loss_pi: 8523.843416 
loss_mse 0.000038    loss_niqe 8601.797300   loss_pi: 8529.807238 
loss_mse 0.000038    loss_niqe 8579.948277   loss_pi: 8521.522396 
loss_mse 0.000038    loss_niqe 8566.412149   loss_pi: 8510.111519 
loss_mse 0.000038    loss_niqe 8581.876579   loss_pi: 8519.585801 
loss_mse 0.000038    loss_niqe 8592.222835   loss_pi: 8524.886417 
loss_mse 0.000038    loss_niqe 8577.460259   loss_pi: 8517.083440 
loss_mse 0.000037    loss_niqe 8561.660194   loss_pi: 8511.486703 
loss_mse 0.000038    loss_niqe 8564.939049   loss_pi: 8513.447108 
loss_mse 0.000038    loss_niqe 8565.440415   loss_pi: 8512.186078 
loss_mse 0.000037    loss_niqe 8572.604440   loss_pi: 8515.789178 
loss_mse 0.000037    loss_niqe 8588.644763   loss_pi: 8517.163214 
loss_mse 0.000037    loss_niqe 8588.510432   loss_pi: 8521.847153 
loss_mse 0.000038    loss_niqe 8593.521687   loss_pi: 8522.604699 
loss_mse 0.000037    loss_niqe 8590.859058   loss_pi: 8522.515358 
loss_mse 0.000037    loss_niqe 8567.436194   loss_pi: 8512.792343 
loss_mse 0.000037    loss_niqe 8579.729211   loss_pi: 8517.558004 
loss_mse 0.000037    loss_niqe 8589.814570   loss_pi: 8523.171237 
loss_mse 0.000037    loss_niqe 8575.131814   loss_pi: 8512.638546 
loss_mse 0.000037    loss_niqe 8580.293375   loss_pi: 8516.110378 
loss_mse 0.000037    loss_niqe 8580.131794   loss_pi: 8519.229940 
loss_mse 0.000037    loss_niqe 8569.449713   loss_pi: 8510.985096 
loss_mse 0.000037    loss_niqe 8577.583723   loss_pi: 8514.694659 
loss_mse 0.000037    loss_niqe 8571.992834   loss_pi: 8507.641049 
loss_mse 0.000037    loss_niqe 8590.713028   loss_pi: 8513.623878 
loss_mse 0.000037    loss_niqe 8590.673324   loss_pi: 8517.015333 
loss_mse 0.000037    loss_niqe 8560.102039   loss_pi: 8505.868189 
loss_mse 0.000037    loss_niqe 8586.986709   loss_pi: 8512.414767 
loss_mse 0.000037    loss_niqe 8551.980925   loss_pi: 8509.069773 
loss_mse 0.000037    loss_niqe 8581.957812   loss_pi: 8519.989973 
loss_mse 0.000037    loss_niqe 8582.346126   loss_pi: 8513.577525 
loss_mse 0.000037    loss_niqe 8571.219335   loss_pi: 8504.703708 
loss_mse 0.000037    loss_niqe 8573.206300   loss_pi: 8509.248668 
loss_mse 0.000037    loss_niqe 8589.255020   loss_pi: 8516.523099 
loss_mse 0.000037    loss_niqe 8592.093118   loss_pi: 8515.302026 
loss_mse 0.000036    loss_niqe 8582.323720   loss_pi: 8517.020858 
loss_mse 0.000036    loss_niqe 8588.305689   loss_pi: 8520.314054 
loss_mse 0.000036    loss_niqe 8609.868395   loss_pi: 8527.588273 
loss_mse 0.000037    loss_niqe 8590.957628   loss_pi: 8519.472224 
loss_mse 0.000037    loss_niqe 8577.216960   loss_pi: 8514.485552 
loss_mse 0.000037    loss_niqe 8582.345541   loss_pi: 8516.383784 
loss_mse 0.000036    loss_niqe 8587.021664   loss_pi: 8515.450322 
loss_mse 0.000037    loss_niqe 8601.925509   loss_pi: 8517.213089 
loss_mse 0.000036    loss_niqe 8588.685920   loss_pi: 8515.200815 
loss_mse 0.000036    loss_niqe 8582.693198   loss_pi: 8509.163618 
loss_mse 0.000036    loss_niqe 8567.298026   loss_pi: 8507.392767 
loss_mse 0.000037    loss_niqe 8572.878297   loss_pi: 8512.885204 
loss_mse 0.000036    loss_niqe 8590.783873   loss_pi: 8517.542656 
loss_mse 0.000036    loss_niqe 8587.288614   loss_pi: 8516.301143 
loss_mse 0.000036    loss_niqe 8595.145149   loss_pi: 8517.127578 
loss_mse 0.000036    loss_niqe 8595.877683   loss_pi: 8514.419617 
